Reference number	Reference						
R012	Fang, J., Jiang, Z., Fang, J., Kang, B., Gao, Y. & Du, M. (2018) Selectivity of Perinereis aibuhitensis (Polychaeta, Nereididae) feeding on sediment. Marine Biology Research, 14, 478–483						
R013	Toba, Y. & Sato, M. (2013) Filter-feeding behavior of three Asian Hediste species (Polychaeta: Nereididae). Plankton and Benthos Research, 8, 159–165.						
R014	Strelnikova, A.P. & Ivanova, M.N. (1982) Feeding of smelt, Osmerus eperlanus (Osmeridae), in early ontogenesis in the Rybinsk reservoir. Journal of Ichthyology, 25, 48–54. (From Fishbase www.fishbase.org)						
R015	Doi, H., Matsumasa, M., Toya, T., Satoh, N., Mizota, C., Maki, Y. & Kikuchi, E. (2005) Spatial shifts in food sources for macrozoobenthos in an estuarine ecosystem: carbon and nitrogen stable isotope analyses. Estuarine, Coastal and Shelf Science, 64, 316–322.						
R016	Abbott, R.T. (1958) The gastropod genus Assiminea in the Philippines. Proceedings of the Academy of Natural Sciences of Philadelphia, 110, 213–278.						
R017	Satoshi, T., Mastoshi, M. & Yasushi, K. (1988) Seasonal changes in the stomach contents of the burrowing mud-crab, Helice tridens (De Haan). Bulletin of the Marine Biological Station of Asamushi, Tohoku University 18, 77–86.						
R018	Berg, C.O. (1949) Limnological relations of insects to plants of the genus Potamogeton. Transactions of the American Microscopical Society, 68, 279.						
R019	Perevozkin, V.P., Lukyantsev, S. V & Gordeev, M.I. (2004) Comparative analysis of foraging behavior in aquatic and semiaquatic spiders of the genera Argyroneta, Dolomedes, Pirata, and Pardosa. Russian Journal of Ecology, 35, 103–109.						
R020	James, A.G. (1987) Feeding ecology, diet and field-based studies on feeding selectivity of the Cape anchovy Engraulis capensis Gilchrist. South African Journal of Marine Science, 5, 673–692.						
R021	Kwon, S.-J., Jeon, Y.-C. & Kim, M.-C. (2013) 물속 생물 도감: 저서성 대형무척추동물 (Benthic macroinvertebrates) [In Korean Language], 자연과생태 (Nature and Ecology), Paju, 792.						
R022	Chiappa-Carrara, X. & Gallardo-Cabello, M. (1993) Feeding behavior and dietary composition of the northern anchovy, Engraulis mordax Girard (Pisces: Engraulidae), off Baja California, Mexico. Ciencias Marinas, 19, 285–305.						
R023	Bulgakova, Y. V (1993) Daily feeding dynamics of the Black Sea anchovy, Engraulis encrasicholus. Journal of Ichthyology, 33, 78–88. (From Fishbase www.fishbase.org)						
R024	Zhou, X., Hu, Z., Liu, Q., Yang, L. & Wang, Y. (2013) Feeding ecology of the non-indigenous fish Hypomesus nipponensis in Lake Ulungur, China: insight into the relationship between its introduction and the collapse of the native Eurasian perch population. Marine and Freshwater Research, 64, 549.						
R025	Tietze, N.S. & Mulla, M.S. (1989) Prey-size selection by Triops longicaudatus(Notostraca: Triopsidae) feeding on immature stages of Culex quinquefasciatus. Journal of the American Mosquito Control Association, 5, 392–396.						
R026	Chahartaghi, M., Langel, R., Scheu, S. & Ruess, L. (2005) Feeding guilds in Collembola based on nitrogen stable isotope ratios. Soil Biology and Biochemistry, 37, 1718–1725.						
R027	Dolganova, N.T., Kolpakov, N. V. & Chuchukalo, V.I. (2008) Feeding interactions and foraging of juvenile fish and shrimp in the estuaries of Peter the Great Bay in the summer-fall period. Russian Journal of Marine Biology, 34, 482–489. https://doi.org/10.1134/S1063074008070079.						
R028	Poelen, J. (2019) DIDB: Diatom Interaction DataBase. Zenodo. https://doi.org/10.5281/zenodo.2619534 [Accessed on August 10, 2023]						
R029	Ishikawa, T., Narita, T. & Urabe, J. (2004) Long-term changes in the abundance of Jesogammarus annandalei (Tattersall) in Lake Biwa. Limnology and Oceanography, 49, 1840–1847.						
R030	Gerdol, V. & Hughes, R.G. (1994) Feeding behaviour and diet of Corophium volutator in an estuary in southeastern England. Marine Ecology Progress Series, 103–108.						
R031	Macneil, C., Dick, J.T.A. & Elwood, R.W. (1997) The trophic ecology of freshwater Gammarus spp. (Crustacea: Amphipoda): problems and perspectives concerning the functional feeding group concept. Biological Reviews of the Cambridge Philosophical Society, 72, S0006323196005038.						
R032	Maltby, L., Clayton, S.A., Wood, R.M. & McLoughlin, N. (2002) Evaluation of the Gammarus pulex in situ feeding assay as a biomonitor of water quality: Robustness, responsiveness, and relevance. Environmental Toxicology and Chemistry: An International Journal, 21, 361–368.						
R033	Graça, M.A.S., Maltby, L. & Calow, P. (1993) Importance of fungi in the diet of Gammarus pulex and Asellus aquaticus I: feeding strategies. Oecologia, 93, 139–144.						
R034	Holsinger, J.R. (1989) Allocrangonyctidae and Pseudocrangonyctidae, two new families of Holarctic subterranean amphipod crustaceans (Gammaridea), with comments on their phylogenetic and zoogeographic relationships. Proceedings of the Biological Society of Washington, 102, 947–959. [Available at https://www.biodiversitylibrary.org/part/43676]	M034와 M033이 모두 Gammaridea임을 보여줌.					
R035	Hamasaki, K., Okada, M., Nishimoto, S. & Dan, S. (2020) Larval performance of amphidromous and landlocked atyid shrimp species in the genus Paratya under different feeding conditions. Zoological Studies, 59, e70.						
R036	Parker, S.M. & Huryn, A.D. (2006) Food web structure and function in two arctic streams with contrasting disturbance regimes. Freshwater Biology, 51, 1249–1263.						
R037	Koh, C.H. & Shin, H.C. (1988) Environmental characteristics and distribution of macrobenthos in a mudflat of the west coast of Korea (Yellow Sea). Netherlands Journal of Sea Research, 22, 279–290.						
R038	Farrugio, H. (1976) Premières observations sur le régime alimentaire des Muges des lacs tunisiens. Rapport des ProcèsVerbaux de la Commission Internationale de l’Exploration de la Mer Méditterranée, 23, 45–46. (From Fishbase www.fishbase.org)						
R039	Steinke, T.D., Rajh, A. & Holland, A.J. (1993) The feeding behaviour of the red mangrove crab Sesarma meinerti De Man, 1887 (Crustacea: Decapoda: Grapsidae) and its effect on the degradation of mangrove leaf litter. South African Journal of Marine Science, 13, 151–160.						
R040	Fratini, S., Cannicci, S., Abincha, L.M. & Vannini, M. (2000) Feeding, temporal, and spatial preferences of Metopograpsus thukuhar (Decapoda; Grapsidae): An opportunistic mangrove dweller. Journal of Crustacean Biology, 20, 326–333.						
R041	Kelleway, J., Mazumder, D., Wilson, G.G., Saintilan, N., Knowles, L., Iles, J. & Kobayashi, T. (2010) Trophic structure of benthic resources and consumers varies across a regulated floodplain wetland. Marine and Freshwater Research, 61, 430.						
R042	Yang, K.Y., Williams, G.A. & Lee, S.Y. (2003) Selective feeding by the mudskipper (Boleophthalmus pectinirostris) on the microalgal assemblage of a tropical mudflat. Marine Biology, 143, 245–256.						
R043	Soszka, G.J. (1975) Ecological relations between invertebrates and submerged macrophytes in the lake littoral. Ekologia Polska, 23, 393–415.						
R044	Collins, P.A. & Williner, V. (2003) Feeding of Acetes paraguayensis (Nobili)(Decapoda: Sergestidae) from the Parana River, Argentina. Hydrobiologia, 493, 1–6.						
R045	Giddins, R.L., Lucas, J.S., Neilson, M.J. & Richards, G.N. (1986) Feeding ecology of the mangrove crab Neosarmatium smithi (Crustacea: Decapoda: Sesarmidae). Marine Ecology Progress Series, 147–155.						
R046	Ya, B.P., Yeo, D.C.J. & Todd, P.A. (2008) Feeding ecology of two species of Perisesarma (Crustacea: Decapoda: Brachyura: Sesarmidae) in Mandai mangroves, Singapore. Journal of Crustacean Biology, 28, 480–484.						
R047	Lan, S.-Q., Zhang, L.-W., Yi, H.-P., Xu, C.-L., Lu, F., Feng, G.-H. & Han, G.-X. (2020) Food source and feeding habit of Helice tientsinensis from the common reed vegetation in high marsh of Yellow River Delta, China. Ying Yong Sheng tai xue bao= The Journal of Applied Ecology, 31, 319–325.						
R048	Pikuleva, V.A. (1952) Feeding of spotted steed Hemibarbus maculatus (Bleek.) and barbel steed Hemibarbus labeo (Pall.) in Amur River basin. Trudy Amurskoi Ikhtiologicheskoi Ekspeditsii, 3, 419–134. (From Fishbase www.fishbase.org)						
R049	Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos, 55, 299. https://doi.org/10.2307/3565588.						
R050	Martinez-Haro, M., Moreira-Santos, M., Marques, J.C. & Ribeiro, R. (2014) A short-term laboratory and in situ sediment assay based on the postexposure feeding of the estuarine isopod Cyathura carinata. Environmental research, 134, 242–250.						
R051	Kim, M.-C., Chun, S.-P. & Lee, J.G. (2013) 하천생태계와 담수무척추동물: 건강한 하천생태계를 이끄는 작은 동물들 (Invertebrates in Korean Freshwater Ecosystems) [In Korean], Geobook, 484.						
R052	Griffin, J.E., O’Malley, B.P. & Stockwell, J.D. (2020) The freshwater mysid Mysis diluviana (Audzijonyte & Väinölä, 2005) (Mysida: Mysidae) consumes detritus in the presence of Daphnia (Cladocera: Daphniidae). Journal of Crustacean Biology, 40, 520–525						
R053	Vronsky, B.B. (1964) Feeding of some predatory fishes of the Amur river basin. Izv. TINRO, 55, 113–145. (In Russian) (From Fishbase www.fishbase.org)						
R054	Frau, D., Molina, F.R. & Mayora, G. (2016) Feeding selectivity of the invasive mussel Limnoperna fortunei (Dunker, 1857) on a natural phytoplankton assemblage: what really matters? Limnology, 17, 47–57.						
R055	Dussart, G.B.J. (1979) Sphaerium corneum (l.) and Pisidium spp. pfeiffer — the ecology of freshwater bivalve molluscs in relation to water chemistry. Journal of Molluscan Studies, 45, 19-34. https://doi.org/10.1093/oxfordjournals.mollus.a065480.						
R056	Holčík, J. ed. (1986) The Freshwater Fishes of Europe. Vol. 1, Part I Petromyzontiformes, AULA-Verlag, Wiesbaden.						
R057	Renaud, C.B. (2011) Lampreys of the world unite. An annotated and illustrated catalogue of lamprey species known to date., FAO.						
R058	Strekalova, I.I. (1957) Some data on feeding and growth of juvenile fishes of the subfamily Cultrinae in Khanka Lake. Trudy Amurskoi Ikhtiologicheskoi Ekspeditsii 1945-1949 gg, 4, 235–251. (In Russian) (From Fishbase www.fishbase.org)						
R059	Pickavance, J.R. (1971) The Diet of the Immigrant Planarian Dugesia tigrina (Girard): I. Feeding in the Laboratory. The Journal of Animal Ecology, 40, 623. https://doi.org/10.2307/3441						
R060	Watkins, C.E., Shireman, J. V, Rottmann, R.W. & Colle, D.E. (1981) Food habits of fingerling grass carp. The Progressive Fish-Culturist, 43, 95–97. https://doi.org/10.1577/1548-8659(1981)43[95:FHOFGC]2.0.CO;2						
R061	Wang, Y.-N., Zhang, G.-R., Wei, K.-J. & Gardner, J.P.A. (2015) Reproductive traits of the threatened freshwater mussel Solenaia oleivora (Bivalvia: Unionidae) from the middle Yangtze River. Journal of Molluscan Studies, 81, 522–526.						
R062	Preston, D.L., Orlofske, S.A., McLaughlin, J.P. & Johnson, P.T.J. (2012) Food web including infectious agents for a California freshwater pond: Ecological Archives E093-153. Ecology, 93, 1760.						
R063	Qiu, J.-W. & Kwong, K.-L. (2009) Effects of macrophytes on feeding and life-history traits of the invasive apple snail Pomacea canaliculata. Freshwater Biology, 54, 1720–1730. https://doi.org/https://doi.org/10.6092/issn.2531-7342/6796.						
R064	Fong, J.M., Lai, S., Yaakub, S.M., Ow, Y.X. & Todd, P.A. (2018) The diet and feeding rates of gastropod grazers in Singapore’s seagrass meadows. Botanica marina, 61, 181–192.						
R065	Teoh, H.W., Sasekumar, A., Ismail, M.H. & Chong, V.C. (2018) Trophic discrimination factor and the significance of mangrove litter to benthic detritivorous gastropod, Ellobium aurisjudae (Linnaeus). Journal of Sea Research, 131, 79–84.						
R066	Kurata, K., Minami, H. & Kikuchi, E. (2001) Stable isotope analysis of food sources for salt marsh snails. Marine Ecology Progress Series, 223, 167–177. https://doi.org/10.3354/meps223167.						
R067	Chang, X., Zhai, B., Liu, X. & Wang, M. (2007) Effects of temperature stress and pesticide exposure on fluctuating asymmetry and mortality of Copera annulata (selys) (Odonata: Zygoptera) larvae. Ecotoxicology and Environmental Safety, 67, 120–127. https://doi.org/10.1016/j.ecoenv.2006.04.004						
R068	Brendelberger, H. (1997) Contrasting feeding strategies of two freshwater gastropods, Radix peregra (Lymnaeidae) and Bithynia tentaculata (Bithyniidae). Fundamental and Applied Limnology, 140, 1–21. https://doi.org/10.1127/archiv-hydrobiol/140/1997/1.						
R069	Alyakrinskaya, I.O. (2010) Some adaptations of Monodonta turbinata (Born, 1780) (Gastropoda, Prosobranchia, Trochidae) to feeding and habitation in the littoral zone. Biology Bulletin, 37, 63–68. https://doi.org/10.1134/S1062359010010097.						
R070	Allinson, G., Ueoka, M. & Morita, M. (1994) Effect of dietary 1, 3, 6, 8-tetrachlorodibenzo-p-dioxin on the Japanese freshwater fish Oryzias latipes (Medaka) and aquatic snail Indoplanorbis exustus (Indohiramakigai). Chemosphere, 28, 1369–1383.						
R071	Motta, R.L. & Uieda, V.S. (2005) Food web structure in a tropical stream ecosystem. Austral Ecology, 30, 58–73. https://doi.org/10.1111/j.1442-9993.2005.01424.x.						
R072	Keast, A. & Welsh, L. (1968) Daily feeding periodicities, food uptake rates, and dietary changes with hour of day in some lake fishes. Journal of the Fisheries Research Board of Canada, 25, 1133–1144. https://doi.org/10.1139/f68-099.						
R073	Zimmerman, M.P. (1999) Food habits of smallmouth bass, walleyes, and northern pikeminnow in the lower Columbia River basin during outmigration of juvenile anadromous salmonids. Transactions of the American Fisheries Society, 128, 1036–1054. https://doi.org/10.1577/1548-8659(1999)128<1036:FHOSBW>2.0.CO;2.						
R074	García-Berthou, E. & Moreno-Amich, R. (2000) Food of introduced pumpkinseed sunfish: ontogenetic diet shift and seasonal variation. Journal of Fish Biology, 57, 29–40. https://doi.org/10.1111/j.1095-8649.2000.tb00773.x.						
R075	Pickavance, J.R. (1971) The diet of the immigrant planarian Dugesia tigrina (Girard): II. Food in the wild and comparison with some British species. The Journal of Animal Ecology, 637–650.						
R076	Medved, R.A. & Legner, E.F. (1974) Feeding and reproduction of the planarian, Dugesia dorotocephala (Woodworth), in the presence of Culex peus Speiser. Environmental Entomology, 3, 637–641.						
R077	Myers, P. et al. The animal diversity web. http://animaldiversity.org (2013).						
R078	Hodkinson, I.D. & Coulson, S.J. (2004) Are high Arctic terrestrial food chains really that simple? - The Bear Island food web revisited. Oikos, 106, 427–431. https://doi.org/10.1111/j.0030-1299.2004.13091.x.						
R079	Carpenter, J.H. (1982) Observations on the biology of cave planarians of the United States. International Journal of Speleology, 12, 2.						
R080	Young, J.O. (1992) The feeding biology of the immigrant triclad Phagocata woodworthi in Loch Ness, Scotland. Journal of Zoology, 227, 503–508.						
R081	Armitage, M.J. & Young, J.O. (1991) The feeding biology of the triclad Phagocata vitta (Dugès): a laboratory study. Hydrobiologia, 215, 63–72.						
R082	Jolivet, P., Petitpierre, E. & Hsiao, T.H. (1988) Biology of Chrysomelidae, (ed. by Jolivet, P., Petitpierre, E. & Hsiao, T.H.) Springer Netherlands, Dordrecht. https://doi.org/10.1007/978-94-009-3105-3.						
R083	Miller, J.E., Savino, J.F. & Neely, R.K. (1992) Competition for food between crayfish (Orconectes virilis) and the slimy sculpin (Cottus cognatus). Journal of Freshwater Ecology, 7, 127–136. https://doi.org/10.1080/02705060.1992.9664678.						
R084	Benamar, L., Bennas, N., Hassoun, M. & Millán, A. (2022) Updating the presence, distribution and chorology of Moroccan Dryopoidea (Coleoptera: Elmidae and Dryopidae). Aquatic Insects, 43, 335–389.						
R085	Levine, S. (1980) Gut contents of forty-four Lake Pontchartrain fish species, 1977-1978. Environmental analysis of Lake Pontchartrain, Louisiana, its surrounding wetlands, and selected land uses. CEL, CWR, LSU, BR, LA 70803. Prepared for U.S. Army Engineer District, New Orleans. Contract No. DACW 29-77-C-0253 (ed. by Stone, J.H.), 899–1029.						
R086	George, E.L. & Hadley, W.F. (1979) Food and Habitat Partitioning Between Rock Bass (Ambloplites rupestris) and Smallmouth Bass (Micropterus dolomieui) Young of the Year. Transactions of the American Fisheries Society, 108, 253–261. https://doi.org/10.1577/1548-8659(1979)108<253:FAHPBR>2.0.CO;2.						
R087	Hickley, P., North, R., Muchiri, S.M. & Harper, D.M. (1994) The diet of largemouth bass, Micropterus salmoides, in Lake Naivasha, Kenya. Journal of Fish Biology, 44, 607–619. https://doi.org/10.1111/j.1095-8649.1994.tb01237.x.						
R088	Yamamato, M.N. & Tagawa, A.W. (2000) Hawaii’s Native and Exotic Freshwater Animals, Mutual Publishing LLC 200.						
R089	Culler, L.E. & Lamp, W.O. (2009) Selective predation by larval Agabus (Coleoptera: Dytiscidae) on mosquitoes: support for conservation-based mosquito suppression in constructed wetlands. Freshwater Biology, 54, 2003–2014. https://doi.org/10.1111/j.1365-2427.2009.02230.x.						
R090	Nilsson, A.N. & Söderström, O. (1988) Larval consumption rates, interspecific predation, and local guild composition of egg-overwintering Agabus (Coleoptera, Dytiscidae) species in vernal ponds. Oecologia, 76, 131–137.						
R091	Ibáñez-Aguirre, A.L. (1995) Algunos aspectos de la dinamica de poblaciones de Mugil cephalus (Linneo 1758) y M. curema (Valenciennes, 1836) (Pisces: Mugilidae) en la Laguna de Tamiahua, Veracruz. Doctoral Thesis. Universidad Nacional Autónoma de México. [In Spanish]						
R092	Tate, A.W. & Hershey, A.E. (2003) Selective feeding by larval dytiscids (Coleoptera: Dytiscidae) and effects of fish predation on upper littoral zone macroinvertebrate communities of arctic lakes. Hydrobiologia, 497, 13–23. https://doi.org/10.1023/A:1025401318921						
R093	Blay, J. (1995) Food and feeding habits of four species of juvenile mullet (Mugilidae) in a tidal lagoon in Ghana. Journal of Fish Biology, 46, 134–141. https://doi.org/10.1111/j.1095-8649.1995.tb05952.x.						
R094	Sakai, H. (1990) Larval developmental intervals in Tribolodon hakonensis (Cyprinidae). Japanese Journal of Ichthyology, 37, 17–28. https://doi.org/10.11369/jji1950.37.17.						
R095	Cardona, L. (2001) Non-competitive coexistence between Mediterranean grey mullet: evidence from seasonal changes in food availability, niche breadth and trophic overlap. Journal of Fish Biology, 59, 729–744. https://doi.org/10.1111/j.1095-8649.2001.tb02376.x.						
R096	Emmerson, W.D. (1985) The nutrient status of the Swartkops River estuary, Eastern Cape. Water SA, 11, 189–198.						
R097	Matlock, G.C. & Garcia, M.A. (1983) Stomach contents of selected fishes from Texas bays, Contrib. Mar. Sci., 26, 95-110.						
R098	Blaber, S.J.M. (1976) The food and feeding ecology of Mugilidae in the St. Lucia lake system. Biological Journal of the Linnean Society, 8, 267–277. https://doi.org/10.1111/j.1095-8312.1976.tb00249.x.						
R099	Short, R.A. (1983) Food habits and dietary overlap among six stream collector species. Freshwater Invertebrate Biology, 2, 132–138.						
R100	Short, R.A. (1979) Particulate organic matter dynamics in a Colorado mountain stream. Doctoral Thesis. Colorado State University, 117.						
R101	Seagle Jr, H.H. (1982) Comparison of the food habits of three species of riffle beetles, Stenelmis crenata, Stenelmis mera, and Optioservus trivittatus (Coleoptera: Dryopoidea: Elmidae). Freshwater Invertebrate Biology, 1, 33–38.						
R102	Mazumder, D., Saintilan, N. & Williams, R.J. (2006) Trophic relationships between itinerant fish and crab larvae in a temperate Australian saltmarsh. Marine and Freshwater Research, 57, 193. https://doi.org/10.1071/MF05040.						
R103	Ljunggren, L. (2002) Growth response of pikeperch larvae in relation to body size and zooplankton abundance. Journal of Fish Biology, 60, 405–414. https://doi.org/10.1111/j.1095-8649.2002.tb00289.x.						
R104	Sazhnev, A.S. (2018) On the position of Heteroceridae (Insecta: Coleoptera) in food webs in riparian communities. Ecosystem transformation, 1, 49–56.						
R105	Watanabe, R., Matsushima, R. & Yoda, G. (2020) Life history of the endangered Japanese aquatic beetle Helophorus auriculatus (Coleoptera: Helophoridae) and implications for its conservation. Journal of Insect Conservation, 24, 603–611. https://doi.org/10.1007/s10841-019-00214-1.						
R106	Sofi, M.S., Bhat, S.U., Subramanian, K.A., Sabha, I., Rashid, I. & Kuniyal, J.C. (2020) Deuterophlebia Edwards, 1922 (Diptera: Deuterophlebiidae) an Enigmatic Primitive Diptera (Insecta) from Kashmir Himalaya. Halteres, 11, 94–97.	R106부터 algae가 Periphyton으로 보일시 Phytoplankton이 아닌 Periphyton으로 메타웹작성					
R107	Laroche, J.L. (1982) Trophic patterns among larvae of five species of sculpins (Family: Cottidae) in a Maine estuary. Fishery Bulletin, 80, 827–840.						
R108	Das, A., Debnath, N. & Ghosh, L.K. (2016) A preliminary study on the biodiversity of aquatic insects in Santragachi Jheel, Howrah. Journal of Experimental Zoology India, 19, 1505–1512.						
R109	Hopkins, T.L. (1985) Food web of an Antarctic midwater ecosystem. Marine Biology, 89, 197–212. https://doi.org/10.1007/BF00392890.						
R110	Viherluoto, M., Kuosa, H., Flinkman, J. & Viitasalo, M. (2000) Food utilisation of pelagic mysids, Mysis mixta and M. relicta , during their growing season in the northern Baltic Sea. Marine Biology, 136, 553–559. https://doi.org/10.1007/s002270050715.						
R111	Larsson, P., Brittain, J.E., Lien, L., Lillehammer, A. & Tangen, K. (1978) The lake ecosystem of Ovre Heimdalsvatn. Ecography, 1, 304–320. https://doi.org/10.1111/j.1600-0587.1978.tb00965.x.						
R112	Fryer, G. (1959) The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London, pp. 153–281.						
R113	Grimm, M. (2016) Nepa cinerea from Leipzig 2, Sachsen, Germany on June, 1st, 2016 at 10:07 PM by Martin Grimm · iNaturalist. iNaturalist. https://www.inaturalist.org/observations/3382375.						
R114	Wright, J. (1989) Biology of Leiognathus decorus (Leiognathidae) in Sulaibikhat Bay, Kuwait. Marine and Freshwater Research, 40, 179. https://doi.org/10.1071/MF9890179.						
R115	Tiews, K., Divino, P., Ronquillo, I.A. & Marquez, J. (1973) On the food and feeding habits of eight species of Leiognathus [slip-mouth] found in Manila Bay and San Miguel Bay. Philippine Journal of Fisheries, 11, 62–72.						
R116	Sandoval, G.M. (2019) Ocypode ceratophthalmus from Kaskazini A, Tanzania on September, 20th, 2019 at 06:34 PM by Gonzalo Mucientes Sandoval. https://youtu.be/6MPGFufdxhI · iNaturalist. iNaturalist. https://www.inaturalist.org/observations/34171230.						
R117	Strachan, P.H., Smith, R.C., Hamilton, D.A.B., Taylor, A.C. & Atkinson, R.J.A. (1999) Studies on the ecology and behaviour of the ghost crab, Ocypode cursor (L.) in northern Cyprus. Scientia marina, 63, 51–60.						
R118	Wolcott, T.G. (1978) Ecological rôle of ghost crabs, Ocypode quadrata (Fabricius) on an ocean beach: Scavengers or predators? Journal of Experimental Marine Biology and Ecology, 31, 67–82. https://doi.org/10.1016/0022-0981(78)90137-5.						
R119	Fu, X., Nobuyoshi, O., Zhang, Y. & Lei, C. (2006) A rearing apparatus and diet for the aquatic firefly Luciola leii (Coleoptera: Lampyridae). The Canadian Entomologist, 138, 399–406. https://doi.org/10.4039/n05-029.						
R120	Carlson, S.M., Rodriguez-Lozano, P., Moidu, H. & Leidy, R.A. (2020) Scavenging of Animal Carcasses by Gumaga nigricula (Sericostomatidae, Trichoptera), an Apparent Herbivore. Western North American Naturalist, 80, 551-555. https://doi.org/10.3398/064.080.0415.						
R121	Ohba, S.-Y. & Takagi, M. (2010) Predatory ability of adult diving beetles on the Japanese encephalitis vector Culex tritaeniorhynchus. Journal of the American Mosquito Control Association, 26, 32–36.						
R122	Pakulnicka, J., Bartnik, W. & others (1999) Changes in the fauna of aquatic beetles (Coleoptera aquatica) in Lake Luterskie (Olsztyn Lake District) in 1981-1993. Fragmenta Faunistica, 42, 71–93.						
R123	Honebrink, R. & Hendricks, P. (1990) Fishing in Hawaii: a student manual, Division of Aquatic Resources, Department of Land and Natural Resources, Honolulu, 65-78.						
R124	Ferriz, R.A. Algunos aspectos de la dieta de cuatro especies ícticas del río Limay Argentina. Revista de Ictiología, 2–3, 1–7.						
R125	Paradise, C.J. & Kuhn, K.L. (1999) Interactive effects of pH and leaf litter on a shredder, the scirtid beetle, Helodes pulchella , inhabiting tree‐holes. Freshwater Biology, 41, 43–49. https://doi.org/10.1046/j.1365-2427.1999.00384.x.						
R126	Ruta, R. (2014) A new species, new records, and notes on biology of New Caledonian Scirtes Illiger (Insecta: Coleoptera: Scirtidae). Zoologia Neocaledonica, 8, 191–199.						
R127	Libonatti, M.L. & Ruta, R. (2018) Family Scirtidae. Thorp and Covich’s Freshwater Invertebrates (ed. by Thorp, J.H. and Rogers, D.C.) , pp. 599–603. Elsevier. https://doi.org/10.1016/B978-0-12-804223-6.00028-7.						
